sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,,,
238,1761738340.642000,1761738340.632500,9.5,-19596.2,-326.6,393,397,-7,-3,,,1.003000021,-0.003000021,
239,1761738341.645000,1761738341.627000,18,-19595.2,-326.59,393,399,-7,-1,,,1.003000021,-0.003000021,
240,1761738342.644500,1761738342.627000,17.5,-19594.2,-326.57,394,400,-6,0,,,1.003000021,-0.003000021,
241,1761738343.632000,1761738343.630500,1.5,-19593.2,-326.55,394,399,-6,-1,,,0.999500036,0.000499964,
242,1761738344.637500,1761738344.635000,2.5,-19592.2,-326.54,393,397,-7,-3,,,0.987499952,0.012500048,
243,1761738345.640500,1761738345.632000,8.5,-19591.2,-326.52,394,399,-6,-1,,,1.005500078,-0.005500078,
244,1761738346.643500,1761738346.635500,8,-19590.2,-326.5,395,397,-5,-3,,,1.003000021,-0.003000021,
245,1761738347.649000,1761738347.633500,15.5,-19589.2,-326.49,393,398,-7,-2,,,1.003000021,-0.003000021,
246,1761738348.646000,1761738348.631000,15,-19588.2,-326.47,395,397,-5,-3,,,1.00549984,-0.00549984,
247,1761738349.636000,1761738349.636500,0.5,-19587.2,-326.45,394,397,-6,-3,,,0.996999979,0.003000021,
248,1761738350.639000,1761738350.636000,3,-19586.2,-326.44,394,398,-6,-2,,,0.99000001,0.00999999,
249,1761738351.642000,1761738351.637000,5,-19585.2,-326.42,394,398,-6,-2,,,1.003000021,-0.003000021,
250,1761738352.646500,1761738352.639000,7.5,-19584.2,-326.4,393,398,-7,-2,,,1.003000021,-0.003000021,
251,1761738353.646000,1761738353.630000,16,-19583.2,-326.39,396,400,-4,0,,,1.004500151,-0.004500151,
252,1761738354.647000,1761738354.632500,14.5,-19582.2,-326.37,395,399,-5,-1,,,0.999499798,0.000500202,
253,1761738355.637000,1761738355.636000,1,-19581.2,-326.35,394,399,-6,-1,,,1.001000166,-0.001000166,
254,1761738356.638000,1761738356.633000,5,-19580.2,-326.34,395,400,-5,0,,,0.99000001,0.00999999,
255,1761738357.645000,1761738357.635000,10,-19579.2,-326.32,392,399,-8,-1,,,1.000999928,-0.000999928,
256,1761738358.647000,1761738358.638500,8.5,-19578.2,-326.3,395,397,-5,-3,,,1.006999969,-0.006999969,
257,1761738359.653000,1761738359.638000,15,-19577.2,-326.29,392,398,-8,-2,,,1.002000093,-0.002000093,
258,1761738360.652500,1761738360.635500,17,-19576.2,-326.27,394,399,-6,-1,,,1.006000042,-0.006000042,
259,1761738361.640000,1761738361.640000,0,-19575.2,-326.25,394,398,-6,-2,,,0.999499798,0.000500202,
260,1761738362.644500,1761738362.642000,2.5,-19574.2,-326.24,393,395,-7,-5,,,0.987500191,0.012499809,
261,1761738363.646500,1761738363.641500,5,-19573.2,-326.22,393,397,-7,-3,,,1.004499912,-0.004499912,
262,1761738364.649500,1761738364.642000,7.5,-19572.2,-326.2,394,398,-6,-2,,,1.002000093,-0.002000093,
263,1761738365.654000,1761738365.638000,16,-19571.2,-326.19,395,399,-5,-1,,,1.002999783,-0.002999783,
264,1761738366.656000,1761738366.638000,18,-19570.2,-326.17,394,399,-6,-1,,,1.004500151,-0.004500151,
265,1761738367.643500,1761738367.643500,0,-19569.2,-326.15,394,396,-6,-4,,,1.001999855,-0.001999855,
266,1761738368.645500,1761738368.643000,2.5,-19568.2,-326.14,394,398,-6,-2,,,0.987500191,0.012499809,
267,1761738369.652500,1761738369.647500,5,-19567.2,-326.12,392,396,-8,-4,,,1.001999855,-0.001999855,
268,1761738370.653000,1761738370.644500,8.5,-19566.2,-326.1,394,397,-6,-3,,,1.006999969,-0.006999969,
269,1761738371.660000,1761738371.641500,18.5,-19565.2,-326.09,394,399,-6,-1,,,1.000500202,-0.000500202,
270,1761738372.657000,1761738372.641500,15.5,-19564.2,-326.07,395,398,-5,-2,,,1.006999969,-0.006999969,
271,1761738373.647000,1761738373.647000,0,-19563.2,-326.05,394,397,-6,-3,,,0.996999979,0.003000021,
272,1761738374.649000,1761738374.642500,6.5,-19562.2,-326.04,394,399,-6,-1,,,0.99000001,0.00999999,
273,1761738375.654500,1761738375.646000,8.5,-19561.2,-326.02,395,397,-5,-3,,,1.001999855,-0.001999855,
274,1761738376.656500,1761738376.646500,10,-19560.2,-326,394,397,-6,-3,,,1.005500078,-0.005500078,
275,1761738377.662000,1761738377.650000,12,-19559.2,-325.99,392,397,-8,-3,,,1.002000093,-0.002000093,
276,1761738378.663500,1761738378.645000,18.5,-19558.2,-325.97,393,399,-7,-1,,,1.00549984,-0.00549984,
277,1761738379.648500,1761738379.649500,1,-19557.2,-325.95,394,397,-6,-3,,,1.00150013,-0.00150013,
278,1761738380.653000,1761738380.649000,4,-19556.2,-325.94,393,397,-7,-3,,,0.984999895,0.015000105,
