sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
251,1761643884.443500,1761643884.431500,12.000,-19557.2,-325.95,391,399,-9,-1
252,1761643885.436500,1761643885.432000,4.500,-19556.2,-325.94,394,397,-6,-3
253,1761643886.445000,1761643886.431500,13.500,-19555.2,-325.92,392,399,-8,-1
254,1761643887.438000,1761643887.437000,1.000,-19554.2,-325.90,392,399,-8,-1
255,1761643888.445500,1761643888.434000,11.500,-19553.2,-325.89,393,399,-7,-1
256,1761643889.442000,1761643889.433500,8.500,-19552.2,-325.87,390,399,-10,-1
257,1761643890.446000,1761643890.435500,10.500,-19551.2,-325.85,391,400,-9,+0
258,1761643891.445000,1761643891.435000,10.000,-19550.2,-325.84,391,401,-9,+1
259,1761643892.448000,1761643892.437000,11.000,-19549.2,-325.82,389,399,-11,-1
260,1761643893.443500,1761643893.437500,6.000,-19548.2,-325.80,391,400,-9,+0
261,1761643894.449000,1761643894.437000,12.000,-19547.2,-325.79,392,400,-8,+0
262,1761643895.446000,1761643895.436500,9.500,-19546.2,-325.77,388,399,-12,-1
263,1761643896.451500,1761643896.441000,10.500,-19545.2,-325.75,390,399,-10,-1
264,1761643897.446000,1761643897.441500,4.500,-19544.2,-325.74,391,398,-9,-2
265,1761643898.451500,1761643898.439500,12.000,-19543.2,-325.72,389,400,-11,+0
266,1761643899.448500,1761643899.439000,9.500,-19542.2,-325.70,389,400,-11,+0
267,1761643900.449000,1761643900.439500,9.500,-19541.2,-325.69,391,400,-9,+0
268,1761643901.444500,1761643901.440000,4.500,-19540.2,-325.67,393,400,-7,+0
269,1761643902.452500,1761643902.438500,14.000,-19539.2,-325.65,392,400,-8,+0
270,1761643903.448500,1761643903.444000,4.500,-19538.2,-325.64,390,399,-10,-1
271,1761643904.455000,1761643904.441000,14.000,-19537.2,-325.62,390,400,-10,+0
272,1761643905.449500,1761643905.442500,7.000,-19536.2,-325.60,390,398,-10,-2
273,1761643906.456000,1761643906.440500,15.500,-19535.2,-325.59,391,400,-9,+0
274,1761643907.451500,1761643907.444500,7.000,-19534.2,-325.57,391,398,-9,-2
275,1761643908.454500,1761643908.445000,9.500,-19533.2,-325.55,391,399,-9,-1
